;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
25;25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;26;354;954;[290,927,383,983];2830.67;0.668941;3633.65;30;VinoLapa175Bini175;False;dead
26;26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;27;1530;1074;[1505,1051,1553,1105];2915.47;0.574935;1968.54;31;VinoLapa175Bini175;False;dead
27;27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;28;1073;1158;[1052,1136,1097,1206];2737.29;0.466617;2394.4;32;VinoLapa175Bini175;False;dead
28;28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;29;329;1201;[300,1177,381,1225];2805.36;0.728369;2777.67;33;VinoLapa175Bini175;True;alive
29;29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;30;1944;1312;[1900,1240,2001,1358];2895.82;0.665654;8325.55;34;VinoLapa175Bini175;False;dead
30;30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;31;1717;1265;[1693,1246,1753,1289];2611.07;0.673228;1756.67;35;VinoLapa175Bini175;False;dead
31;31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;32;1401;1283;[1349,1250,1460,1335];3086.6;0.633571;5937.55;36;VinoLapa175Bini175;False;dead
32;32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;33;879;1346;[841,1318,905,1387];3031.92;0.679942;2682.91;37;VinoLapa175Bini175;False;dead
33;33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;34;1240;1613;[1078,1360,1372,1735];7389.71;0.610115;35334.6;38;VinoLapa175Bini175;False;dead
34;34;34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;35;1715;1498;[1688,1474,1753,1524];2794.65;0.764215;2485.95;39;VinoLapa175Bini175;True;alive
35;35;35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;36;1806;1520;[1776,1497,1842,1548];2652.2;0.819327;2443.37;40;VinoLapa175Bini175;True;alive
36;36;36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;37;1838;1706;[1806,1689,1857,1725];2711.34;0.835053;1591.65;41;VinoLapa175Bini175;True;alive
37;37;37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;38;495;1768;[461,1746,517,1798];2557.59;0.720547;1820.55;42;VinoLapa175Bini175;True;alive
39;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;1;440;97;[390,61,473,144];2470.15;0.586471;4260.72;1;VinoLapa175Bini175;False;dead
40;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;2;190;101;[144,75,220,127];2631.02;0.614871;3113.03;2;VinoLapa175Bini175;False;dead
41;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;3;1604;140;[1537,106,1636,171];2718.97;0.569092;4700.42;3;VinoLapa175Bini175;False;dead
42;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;4;658;149;[625,117,688,189];2741.86;0.641497;3166.27;4;VinoLapa175Bini175;False;dead
43;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;5;965;158;[899,119,1015,201];2786.44;0.571036;6476.26;5;VinoLapa175Bini175;False;dead
44;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;6;574;158;[545,131,612,190];2457.01;0.625531;2899.04;6;VinoLapa175Bini175;False;dead
45;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;7;1524;217;[1455,174,1573,275];3278.05;0.664412;8097.72;7;VinoLapa175Bini175;False;dead
46;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;8;689;241;[646,193,728,282];2766.91;0.65632;5294.5;8;VinoLapa175Bini175;False;dead
47;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;9;1865;282;[1820,221,1912,361];5633.0;0.796893;9788.38;9;VinoLapa175Bini175;True;alive
48;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;10;762;313;[732,282,792,341];2824.05;0.582482;2540.25;10;VinoLapa175Bini175;False;dead
49;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;11;1009;401;[977,364,1059,444];3378.42;0.677045;4797.31;11;VinoLapa175Bini175;False;dead
50;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;12;1119;397;[1094,369,1159,442];3086.91;0.632354;3068.32;12;VinoLapa175Bini175;False;dead
51;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;13;2088;491;[2027,423,2175,600];4292.6;0.736531;16881.1;13;VinoLapa175Bini175;True;alive
52;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;14;1111;489;[1084,463,1147,525];2756.91;0.585458;2683.98;14;VinoLapa175Bini175;False;dead
53;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;15;383;532;[358,505,422,558];2890.94;0.637134;2580.71;15;VinoLapa175Bini175;False;dead
54;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;16;1720;507;[1644,466,1770,578];3291.62;0.585122;8442.66;16;VinoLapa175Bini175;False;dead
