;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name
27;27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;28;1966;722;[1931,693,2008,763];2359.78;0.525469;3415.39;30;Pos_ctrl
28;28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;29;802;722;[777,681,841,765];2157.57;0.213887;2656.3;31;Pos_ctrl
29;29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;30;702;749;[650,717,735,795];2713.27;0.581122;3894.49;32;Pos_ctrl
30;30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;31;328;793;[206,718,413,885];3208.09;0.547974;19989.8;33;Pos_ctrl
31;31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;32;66;776;[19,757,83,792];2194.72;0.596131;1504.35;34;Pos_ctrl
32;32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;33;474;803;[451,767,526,858];2493.62;0.560382;3647.49;35;Pos_ctrl
33;33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;34;552;831;[506,774,598,899];2643.67;0.538052;7450.41;36;Pos_ctrl
34;34;34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;35;872;855;[809,815,911,891];2424.85;0.546822;5715.03;38;Pos_ctrl
35;35;35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;36;701;878;[648,825,769,953];2891.94;0.63097;9998.12;39;Pos_ctrl
36;36;36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;37;1097;1009;[1049,915,1168,1065];3101.86;0.606711;10594.3;40;Pos_ctrl
37;37;37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;38;428;1069;[350,983,518,1143];3546.4;0.78313;17945.7;42;Pos_ctrl
38;38;38;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;39;1430;1027;[1378,997,1470,1061];2436.75;0.440714;3723.08;43;Pos_ctrl
39;39;39;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;40;1786;1089;[1744,1034,1871,1121];2546.32;0.499109;6682.8;44;Pos_ctrl
40;40;40;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;41;1163;1163;[1098,1116,1231,1214];2656.65;0.546669;8736.51;45;Pos_ctrl
41;41;41;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;42;792;1152;[769,1129,828,1178];2381.97;0.512087;1972.79;46;Pos_ctrl
42;42;42;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;43;1535;1202;[1505,1165,1568,1227];2305.5;0.47558;2399.72;47;Pos_ctrl
43;43;43;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;44;386;1231;[347,1180,439,1269];2319.45;0.442327;4325.67;48;Pos_ctrl
44;44;44;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;45;255;1329;[202,1275,307,1396];3380.61;0.752653;9053.77;49;Pos_ctrl
45;45;45;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;46;2031;1355;[1998,1316,2055,1381];2233.1;0.539104;2003.67;50;Pos_ctrl
46;46;46;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;47;682;1375;[643,1336,723,1432];2568.81;0.590623;5052.82;51;Pos_ctrl
47;47;47;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;48;1982;1357;[1950,1341,2004,1374];2319.22;0.744438;1458.57;52;Pos_ctrl
48;48;48;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;49;1842;1389;[1814,1362,1883,1441];2505.48;0.607417;3450.53;53;Pos_ctrl
49;49;49;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;50;1962;1416;[1920,1377,2028,1463];2560.7;0.594585;6075.95;54;Pos_ctrl
50;50;50;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;51;1838;1442;[1782,1421,1871,1463];2293.37;0.538225;2454.02;55;Pos_ctrl
51;51;51;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;52;1616;1470;[1568,1442,1637,1493];2425.5;0.487351;2391.2;56;Pos_ctrl
52;52;52;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;53;1057;1615;[1000,1540,1118,1674];2948.84;0.730481;11191.6;57;Pos_ctrl
53;53;53;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;54;1337;1591;[1313,1548,1383,1615];2340.29;0.529327;2742.54;58;Pos_ctrl
54;54;54;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;55;502;1590;[462,1552,577,1679];2910.99;0.542625;9340.16;59;Pos_ctrl
55;55;55;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;56;662;1590;[639,1566,697,1620];2313.77;0.423721;1904.66;60;Pos_ctrl
56;56;56;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;57;1426;1593;[1395,1572,1443,1624];2015.51;0.398282;1297.81;61;Pos_ctrl
57;57;57;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;58;241;1703;[169,1646,279,1748];2471.46;0.469041;6182.42;62;Pos_ctrl
58;58;58;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;59;1926;1834;[1862,1779,1996,1894];2908.49;0.791288;11987.9;63;Pos_ctrl
59;59;59;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;60;2090;1836;[2038,1808,2118,1864];2822.62;0.661362;3179.04;64;Pos_ctrl
60;60;60;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;61;756;1864;[724,1827,799,1924];2353.65;0.560516;4743.01;65;Pos_ctrl
61;61;61;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;62;880;2064;[833,2017,929,2106];2522.23;0.642688;5425.45;67;Pos_ctrl
62;62;62;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;63;2161;2105;[2131,2072,2194,2131];2193.3;0.551373;1857.81;68;Pos_ctrl
63;63;63;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;64;1290;137;[1276,86,1381,148];2153.72;0.155028;1134.92;69;Pos_ctrl
64;64;64;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;65;1691;400;[1628,394,1775,418];2140.25;0.117611;1320.16;70;Pos_ctrl
65;65;65;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;66;1692;486;[1632,478,1772,497];2149.02;0.256054;1446.86;71;Pos_ctrl
66;66;66;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;67;1700;594;[1692,583,1774,653];2148.46;0.126896;1048.68;72;Pos_ctrl
67;67;67;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;68;277;188;[229,140,331,247];2213.39;0.464391;7866.69;73;Pos_ctrl
68;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;1;1837;769;[1797,743,1867,822];1998.83;0.2487;2952.27;1;Pos_ctrl
69;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;2;533;69;[492,30,575,105];2506.09;0.659168;3813.57;3;Pos_ctrl
70;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;3;1153;133;[1096,69,1218,255];2779.33;0.494853;13177.2;4;Pos_ctrl
71;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;4;565;113;[523,82,593,142];2640.28;0.631924;2948.01;5;Pos_ctrl
72;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;5;966;106;[947,89,1038,162];2398.93;0.389866;3091.74;6;Pos_ctrl
73;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;6;211;189;[146,137,260,236];2939.65;0.644465;6913.83;7;Pos_ctrl
74;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;7;1082;187;[1041,142,1132,221];2885.11;0.712525;4536.47;8;Pos_ctrl
75;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;8;532;195;[495,150,605,251];2536.29;0.520449;6291.01;9;Pos_ctrl
76;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;9;567;229;[549,208,593,258];2466.76;0.583717;1516.06;10;Pos_ctrl
77;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;10;1085;266;[1044,240,1115,295];2615.26;0.689654;2893.72;11;Pos_ctrl
78;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;11;1038;282;[1018,262,1063,302];2802.89;0.676216;1309.52;12;Pos_ctrl
79;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;12;310;319;[272,279,388,363];2583.26;0.389984;4589.7;13;Pos_ctrl
80;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;13;2018;357;[1980,312,2077,415];2519.86;0.569894;6454.97;14;Pos_ctrl
81;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;14;1529;365;[1472,338,1558,405];2235.87;0.392621;3369.61;16;Pos_ctrl
