;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;31;338;798;[305";758;364;"817];1989.13;0.252846;1901.46;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;32;1071;797;[1033";760;1108;"832];3016.64;0.734681;4256.47;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;33;1208;815;[1123";760;1421;"872];2109.31;0.1808;17699.8;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;34;1708;816;[1667";767;1752;"878];1996.71;0.185065;3586.8;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;35;145;927;[16";808;251;"999];3161.88;0.661263;24512.5;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;36;463;858;[418";818;505;"906];2873.51;0.748559;6146.22;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;37;1512;873;[1435";815;1597;"977];3074.22;0.685205;16452;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;38;1018;891;[974";844;1062;"948];3240.78;0.843524;7464.25;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;39;545;909;[511";870;581;"964];2499.37;0.674512;5180.58;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;40;1278;989;[1208";922;1399;"1057];3361.5;0.793273;19717.3;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;41;1660;960;[1627";919;1699;"995];2163.4;0.61507;4221.33;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;42;2011;957;[1976";925;2054;"990];2794.97;0.782917;4096.77;49"
