;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;1;277;482;[254";469;301;"501];2642.74;0.642886;1018.87;1"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;2;1977;79;[1957";61;2018;"99];2419.35;0.465736;1320.16;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;3;520;116;[495";92;542;"136];3203.13;0.716899;1459.63;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;4;526;154;[503";131;554;"187];3132.45;0.697428;1743.89;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;5;287;153;[265";137;304;"177];2574.7;0.656842;1157.27;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;6;760;233;[735";197;773;"251];2496.68;0.499257;1224.35;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;7;1374;286;[1333";262;1398;"319];2658.92;0.448027;2295.38;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;8;926;308;[903";264;972;"338];2923.44;0.462892;3064.06;14"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;9;697;322;[663";287;741;"347];2690.99;0.624133;3072.58;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;10;1173;338;[1136";322;1216;"406];2647.68;0.231106;2175.08;16"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;11;904;382;[876";347;933;"415];3184.22;0.615361;2458.27;17"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;12;250;379;[232";358;282;"402];2513.22;0.535455;1391.5;18"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;13;816;425;[798";392;844;"440];2166.36;0.240418;1142.37;19"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;14;1330;572;[1291";538;1371;"632];2793.21;0.52425;4472.59;20"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;15;506;557;[473";540;532;"577];2339.14;0.574192;1287.16;21"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;16;150;615;[129";590;167;"636];2723.55;0.712182;1203.05;22"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;17;338;699;[308";667;373;"724];2421.41;0.462176;1949.37;23"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;18;764;706;[740";685;783;"726];2648.54;0.638211;1177.5;24"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;19;692;739;[657";705;733;"768];2730.53;0.542673;2505.12;25"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;20;1108;758;[1089";730;1146;"789];2407.78;0.413895;2010.06;26"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;21;711;882;[669";844;766;"921];2623.9;0.565859;4683.39;27"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;22;1649;886;[1628";867;1677;"909];2479.77;0.311837;1078.49;28"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;23;170;1058;[127";1037;211;"1087];2358.84;0.516379;2509.38;29"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;24;1683;1240;[1648";1170;1745;"1276];2648.81;0.447367;6563.56;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;25;409;1504;[387";1482;428;"1534];2404.64;0.570976;1478.8;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;26;1800;1618;[1763";1555;1822;"1644];2840.98;0.545098;3248.24;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;27;357;1591;[335";1570;395;"1614];2466.43;0.690156;1694.92;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;28;1851;1627;[1840";1618;1885;"1667];2224.51;0.272634;1029.52;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;29;286;1668;[245";1644;305;"1707];2632.29;0.515151;1684.27;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;30;705;1761;[684";1735;727;"1784];2648.79;0.59366;1115.75;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;31;668;1794;[628";1765;699;"1823];2812.92;0.687996;2736.15;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;32;1284;1887;[1254";1850;1317;"1912];2442.11;0.363511;2146.33;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;33;1096;1892;[1072";1867;1126;"1913];2690.29;0.603874;1617.2;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;34;996;1985;[949";1952;1022;"2020];2410.34;0.4301;2737.21;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;35;2093;1999;[2062";1958;2153;"2061];2311.9;0.464389;5197.62;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;36;1384;157;[1312";134;1393;"214];2089.68;0.311262;1222.22;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;37;1460;1030;[1367";1020;1575;"1037];2089.61;0.104001;1156.21;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;38;1871;136;[1843";109;1926;"169];2062.23;0.240326;2669.07;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;39;1238;126;[1212";110;1273;"180];2564.57;0.341637;2434.85;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;40;1367;698;[1335";670;1404;"727];2191.61;0.179352;2095.23;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;41;1635;809;[1600";794;1653;"842];2698.89;0.374109;1334;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;42;2037;1582;[2012";1556;2078;"1611];2167.64;0.199332;1654.46;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L9;12;9;1;1;43;2179;1638;[2146";1617;2199;"1670];2230.02;0.308521;1716.21;50"
