;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;31;1992;740;[1927";691;2052;"787];3175.65;0.76031;7827.3;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;32;1795;756;[1763";724;1829;"790];3356.35;0.868119;3514.41;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;33;1472;814;[1355";747;1538;"879];5647.89;0.8726;17510.3;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;34;919;794;[899";774;944;"815];2774.28;0.827811;1546.93;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;35;396;867;[356";828;436;"915];3896.6;0.875287;5504.23;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;36;647;863;[610";833;687;"900];3695.47;0.785607;3796.54;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;37;113;915;[75";879;154;"951];4251.03;0.951842;4782.4;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;38;1380;936;[1334";882;1430;"982];4687.43;0.886251;7630.34;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;39;1750;977;[1684";913;1825;"1039];5121.04;0.899785;12502.2;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;40;829;983;[786";948;866;"1020];4904.15;0.93459;4964.46;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;41;1117;1028;[1081";994;1153;"1065];3617.07;0.839804;4259.66;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;42;611;1086;[574";1042;645;"1122];3744.57;0.766423;4045.67;47"
