;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;31;523;728;[490";675;549;"756];2533.95;0.502621;2652.04;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;32;802;710;[778";688;836;"729];2322.86;0.554046;1424.5;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;33;1052;750;[1019";732;1075;"781];2361.23;0.375941;1457.5;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;34;514;791;[476";757;536;"815];2202.98;0.651133;2220.86;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;35;2158;877;[2138";846;2181;"903];2424.59;0.627542;1809.9;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;36;1987;879;[1960";853;2009;"919];2618.16;0.64166;2010.06;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;37;629;875;[599";857;646;"897];2098.41;0.451985;1075.3;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;38;1841;925;[1822";891;1866;"947];2247.96;0.521735;1748.15;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;39;1043;1093;[997";1062;1089;"1131];2855.79;0.54575;3384.52;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;40;1449;1136;[1425";1101;1492;"1171];2180.04;0.387488;2727.63;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;41;831;1173;[811";1148;849;"1192];1995.28;0.600583;1095.52;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;42;1837;1209;[1813";1181;1884;"1264];2356.83;0.527525;3041.7;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;43;232;1229;[196";1188;290;"1253];2225.47;0.485989;3228.02;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;44;1296;1261;[1245";1210;1368;"1305];2379.43;0.37714;5392.45;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;45;1729;1337;[1704";1311;1764;"1380];2547.53;0.632035;2525.35;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;46;413;1379;[393";1345;452;"1398];2358.4;0.61661;1655.53;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;47;2174;1389;[2149";1363;2194;"1420];2235.38;0.630084;1559.71;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;48;728;1450;[666";1428;757;"1481];2565;0.493422;2541.32;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;49;1384;1466;[1347";1435;1411;"1491];2373.61;0.613075;2301.77;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;50;1536;1482;[1512";1456;1567;"1506];2253.09;0.678101;1835.45;55"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;51;736;1507;[712";1478;785;"1535];2605.98;0.565604;2902.23;57"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;52;1890;1495;[1875";1480;1936;"1525];2578;0.453788;1548;58"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;53;931;1636;[904";1597;954;"1674];2418.57;0.362135;2312.42;59"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;54;451;1680;[431";1662;475;"1708];2494.51;0.489251;1151.95;60"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;55;89;1755;[46";1727;127;"1788];2630.32;0.687119;3415.39;61"
