;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;31;1099;952;[1042";925;1146;"996];2880.77;0.552784;4872.9;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;32;1884;970;[1857";936;1908;"998];2658.3;0.524517;2148.46;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;33;856;979;[826";944;891;"1006];2738.94;0.529356;2878.81;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;34;51;984;[13";957;98;"1012];2476.42;0.581214;3323.83;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;35;209;1001;[171";967;245;"1050];2630.88;0.557401;3479.27;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;36;488;1006;[466";977;519;"1057];2830.25;0.501832;3314.25;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;37;1248;1046;[1193";1005;1272;"1075];2537.08;0.470654;2924.59;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;38;1212;1087;[1194";1061;1238;"1103];2461.13;0.582896;1137.04;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;39;959;1111;[918";1091;981;"1134];2895.78;0.47114;1818.42;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;40;1245;1136;[1210";1117;1265;"1156];2500.17;0.491688;1343.59;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;41;1240;1203;[1210";1167;1265;"1236];2938.44;0.590303;2259.18;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;42;1743;1220;[1707";1199;1765;"1245];2825.1;0.581307;1881.23;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;43;181;1263;[157";1239;213;"1293];2556.14;0.535176;1915.3;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;44;1748;1285;[1717";1259;1767;"1311];2202.35;0.452336;1540.55;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;45;1402;1332;[1370";1306;1439;"1371];2536.05;0.528077;2471.05;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;46;200;1350;[175";1332;226;"1374];2366.99;0.573081;1412.79;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;47;1486;1365;[1467";1348;1527;"1387];2350.21;0.596723;1538.42;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;48;1688;1379;[1661";1345;1720;"1409];2577.33;0.565668;2403.98;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;49;318;1399;[293";1358;350;"1429];2425.28;0.564743;2730.82;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;50;1997;1423;[1970";1399;2025;"1448];2901.36;0.668058;2168.69;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;51;1362;1569;[1326";1540;1401;"1607];2810.92;0.543835;3088.55;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;52;2056;1625;[2030";1600;2085;"1658];2513.3;0.607594;1983.44;55"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;53;1791;1671;[1761";1645;1816;"1713];2823.37;0.562674;2795.77;56"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;54;1241;1666;[1201";1648;1260;"1699];2269.66;0.364274;1747.09;57"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;55;1696;1728;[1671";1707;1727;"1754];2439.02;0.593643;1589.52;58"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;56;880;1766;[834";1727;916;"1797];2746.54;0.543149;3315.32;59"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;57;1192;1808;[1139";1760;1236;"1845];2706.18;0.543631;4513.05;60"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;58;1313;1970;[1267";1943;1343;"1998];2942.92;0.613741;2765.96;61"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;59;1606;2062;[1575";2014;1642;"2099];3045.19;0.733111;4336.31;62"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;60;1774;2155;[1711";2103;1817;"2191];2860.79;0.596916;5618.15;63"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;61;905;861;[878";837;925;"902];2233.83;0.176707;1410.66;65"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;62;564;1344;[501";1259;578;"1391];2211.12;0.288447;2184.66;66"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;63;707;1348;[678";1294;748;"1423];2221.88;0.150849;3866.8;67"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;64;773;1344;[751";1296;796;"1376];2222.93;0.394628;2696.76;68"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;65;844;1547;[839";1542;850;"1646];2184.91;0.410705;1126.4;69"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;66;456;306;[330";191;548;"582];2226.89;0.1457;49767;70"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;67;1537;210;[1504";176;1561;"230];2752.5;0.382972;1757.74;71"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;68;1224;230;[1193";209;1244;"262];2519.72;0.267684;1633.17;72"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;69;330;391;[308";364;353;"415];2635.7;0.460378;1479.86;73"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;70;1475;585;[1456";567;1506;"612];2600.28;0.316918;1357.43;74"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;71;458;1141;[421";1113;491;"1161];2379.33;0.206952;1818.42;75"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;72;513;1206;[471";1185;546;"1231];2598.15;0.362506;2027.09;76"
