;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;31;244;738;[155";674;314;"802];4140.46;0.864538;15571.6;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;32;1694;726;[1658";688;1734;"764];2962.08;0.76317;4713.2;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;33;1493;751;[1436";713;1530;"828];2931.71;0.702781;7634.6;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;34;585;763;[538";717;638;"809];3410.21;0.801577;7270.49;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;35;1073;873;[1033";824;1118;"917];3635.91;0.854013;6023.78;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;36;802;868;[742";833;838;"908];2972.7;0.660944;5357.31;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;37;1147;921;[1101";852;1241;"961];3747.99;0.721576;9741.54;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;38;1981;939;[1945";905;2018;"975];2806.37;0.666426;4024.37;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;39;1081;979;[1044";943;1123;"1018];3238.66;0.80961;4916.55;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;40;473;1045;[428";1008;518;"1084];3158.6;0.800713;5462.71;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;41;1609;1047;[1576";1016;1647;"1080];2846.96;0.697909;3673.04;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;42;911;1061;[871";1015;952;"1101];3258.31;0.806035;5723.55;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;43;1234;1043;[1212";1024;1258;"1061];2175.02;0.43762;1107.23;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;44;132;1085;[98";1053;165;"1115];2401.73;0.739634;3255.7;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;45;2136;1091;[2095";1057;2176;"1128];2726.8;0.701715;4514.11;55"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;46;1054;1133;[1010";1091;1096;"1175];3323.69;0.852482;5962.03;56"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;47;971;1153;[934";1121;1014;"1187];2958.75;0.75524;4296.92;57"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;48;1869;1179;[1808";1137;1905;"1222];2781.56;0.66944;6121.73;58"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;49;1972;1192;[1922";1149;2017;"1236];3353.85;0.819924;6615.73;59"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;50;1584;1270;[1549";1232;1619;"1322];2797.91;0.588284;4630.16;60"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;51;830;1285;[784";1240;877;"1352];3611.21;0.821466;7965.7;61"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;52;1420;1298;[1386";1260;1457;"1333];2716.52;0.621112;4180.88;62"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;53;1202;1310;[1166";1275;1245;"1353];2788.84;0.699523;4584.38;63"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;54;643;1359;[595";1312;695;"1412];3652.07;0.884394;7956.12;64"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;55;226;1426;[164";1323;292;"1483];3246.56;0.700096;13505.1;65"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;56;1520;1424;[1463";1376;1573;"1477];3799.12;0.906717;8367.07;66"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;57;584;1472;[545";1429;653;"1511];2911.66;0.711072;6136.64;67"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;58;1485;1495;[1444";1452;1528;"1539];3656.21;0.90108;5528.72;68"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;59;172;1527;[135";1488;212;"1565];2670.71;0.796184;4704.68;69"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;60;2085;1536;[2043";1495;2132;"1578];3223.13;0.819028;6133.44;70"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;61;1937;1567;[1896";1524;1976;"1608];2260.7;0.56384;5060.28;71"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;62;498;1629;[409";1544;568;"1728];2160.51;0.3488;19674.7;72"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;63;802;1601;[769";1565;836;"1641];2895.99;0.684567;3890.23;73"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;64;675;1649;[624";1595;723;"1706];3599.97;0.809754;8632.17;74"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;65;336;1642;[298";1603;378;"1682];2845.25;0.712526;4697.23;75"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;66;1054;1646;[1020";1607;1091;"1688];2608.49;0.482428;4332.06;76"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;67;1207;1646;[1166";1606;1252;"1689];3428.61;0.826223;5850.24;77"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;68;785;1703;[733";1668;841;"1748];2240.33;0.247086;4954.88;78"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;69;1637;1729;[1592";1687;1685;"1771];3366.58;0.806797;6517.78;79"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;70;925;1770;[887";1718;964;"1811];3271.19;0.778738;5736.33;80"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;71;1397;1874;[1358";1831;1436;"1917];3015.09;0.788416;5131.61;82"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B18;2;18;1;1;72;882;1872;[827";1832;923;"1914];3309.16;0.764583;5939.68;83"
