;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;21;300;604;[282";581;321;"622];2177.42;0.771573;1106.17;22"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;22;1958;825;[1930";792;2019;"856];2311.24;0.468887;3275.92;23"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;23;2041;878;[2024";860;2091;"909];2462.08;0.41227;1971.73;24"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;24;1220;885;[1202";869;1252;"915];2134.23;0.506244;1458.57;25"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;25;161;950;[108";908;199;"1006];2391.2;0.499427;4888.87;26"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;26;2153;1121;[2103";1101;2169;"1146];2191.14;0.444601;1770.51;27"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;27;1961;1282;[1893";1243;1985;"1319];2428.55;0.427665;3778.44;28"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;28;1069;1301;[1050";1278;1085;"1332];2358.66;0.487966;1124.27;29"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;29;1796;1425;[1746";1372;1846;"1487];1989.83;0.455836;9026.09;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;30;1321;1461;[1305";1440;1372;"1483];2308.98;0.440178;1615.07;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;31;230;1545;[199";1523;249;"1563];2491.59;0.499622;1060.39;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;32;280;1583;[270";1572;324;"1617];2119.74;0.235855;1077.42;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;33;1172;1783;[1139";1751;1200;"1813];2302.11;0.412842;2394.4;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;34;1130;1891;[1105";1848;1159;"1908];2045.61;0.320938;1780.09;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;35;881;1936;[819";1918;900;"1973];2338.53;0.303287;2226.18;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;36;753;2004;[710";1975;775;"2029];2347.66;0.465469;1927.01;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;37;1852;78;[1823";53;1880;"103];2633.13;0.392773;2012.19;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;38;1828;527;[1792";504;1848;"550];2700.84;0.402392;1223.28;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;39;1252;643;[1228";625;1275;"659];1951.63;0.342737;1017.8;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;40;613;1936;[434";1812;1062;"2052];1955.19;0.118179;61448.3;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;41;1924;1122;[1899";1098;1949;"1147];2308.49;0.479268;1559.71;44"
