;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;31;1648;1498;[1613";1469;1677;"1525];4675.41;0.831343;2505.12;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;32;235;1545;[207";1518;268;"1572];5837.62;0.931947;2825.58;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;33;1199;1586;[1157";1555;1221;"1620];3279.15;0.611121;2349.68;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;34;734;1648;[692";1608;776;"1694];5369.45;0.746301;5367.96;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;35;1082;1674;[1055";1647;1118;"1702];6271.19;0.934611;2712.73;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;36;190;1730;[146";1679;295;"1770];7138.3;0.692991;9046.32;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;37;983;1812;[939";1777;1020;"1850];7417.78;0.919133;4945.29;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;38;1169;1842;[1128";1789;1210;"1903];5877.98;0.632945;5797.01;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;39;1536;2003;[1493";1964;1576;"2046];4580.88;0.837216;4977.23;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;40;204;2067;[149";2008;266;"2125];7279.01;0.962151;10273.9;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;41;573;2101;[535";2054;615;"2145];5006.86;0.727022;4928.26;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;42;2003;2150;[1976";2123;2031;"2176];3821.19;0.829139;2308.16;46"
