;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;30;2079;1271;[2054";1245;2121;"1300];3225.88;0.682503;2378.43;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;31;2049;1605;[2027";1572;2091;"1632];2600.96;0.663165;2310.29;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;32;662;1671;[622";1633;689;"1690];2967.78;0.548271;1939.79;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;33;728;1688;[697";1651;765;"1727];3555.39;0.703854;3390.91;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;34;448;1712;[432";1696;473;"1743];2803.41;0.562115;1313.78;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;35;495;1804;[483";1790;543;"1825];2936.74;0.449356;1108.3;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;36;766;1867;[722";1847;787;"1907];2882.1;0.602404;2295.38;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;37;1027;2014;[1006";1996;1045;"2036];2675.47;0.701361;1157.27;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;38;528;2095;[508";2073;548;"2126];2759.46;0.627044;1497.96;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;39;1786;2131;[1765";2112;1806;"2149];2834;0.756631;1154.08;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;40;997;284;[931";243;1077;"375];2377.36;0.165884;11589.8;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;41;1247;747;[1192";738;1321;"756];2321.21;0.327288;1861.01;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;42;858;230;[825";206;883;"260];2675.79;0.259568;1431.95;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;43;374;237;[363";218;416;"268];2375.74;0.154505;1217.96;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;44;687;488;[666";465;715;"512];3188.63;0.525622;1648.08;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;45;1227;523;[1206";498;1256;"557];2941.97;0.561141;1380.85;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;46;696;692;[677";659;724;"735];2537.87;0.19764;1381.91;46"
