;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;31;874;1013;[838";978;910;"1049];4088.1;0.937274;4251.14;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;32;836;1097;[801";1062;886;"1133];4507.49;0.87956;4539.66;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;33;49;1148;[4";1106;96;"1190];5437.87;0.975685;6513.52;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;34;142;1204;[84";1149;206;"1260];5959.56;0.917723;10330.3;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;35;645;1266;[601";1227;692;"1306];5907.49;0.97435;5810.85;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;36;954;1291;[914";1252;994;"1337];4374.04;0.912922;5612.83;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;37;72;1437;[33";1402;109;"1478];3834.1;0.920618;4630.16;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;38;1826;1468;[1780";1425;1869;"1511];4835.75;0.962326;6605.08;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;39;1372;1562;[1321";1513;1429;"1612];4719.77;0.948446;8830.2;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;40;1816;1647;[1719";1599;1866;"1748];5298.77;0.846596;13429.5;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;41;790;1637;[770";1618;835;"1659];2971.64;0.769602;2079.26;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;42;561;1727;[510";1677;610;"1777];7023.43;0.975452;8285.1;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;43;928;1750;[876";1699;982;"1804];5454.45;0.948725;9477.5;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;44;199;1759;[147";1708;252;"1811];6439.88;1.00173;8988.83;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;45;662;1778;[639";1751;689;"1810];3333.57;0.84457;2463.6;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;46;1980;1841;[1930";1756;2056;"1894];6491.45;0.887797;12145.5;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;47;1437;1803;[1409";1759;1483;"1836];3959.57;0.730861;3584.67;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;48;1175;2001;[1128";1913;1249;"2047];5502.91;0.831051;10201.5;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;49;1061;1960;[1027";1925;1096;"1997];5418.14;0.971902;4161.71;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;50;1455;1992;[1409";1946;1502;"2040];5956.11;0.991664;7181.06;55"
