;well_id;well_name;row;column;plate;cond_id;Navi;Lapa;Bini;Vino;n_organoids;mean_roundness;Cond_name
52;214;D05;4;5;1;8;0.0;0.595184815128;0.595184815128;0.0;70;0.898747042857143;LapaBini
53;217;D06;4;6;1;8;0.0;0.5951835751738;1.88474798805;0.0;67;0.8900638208955224;LapaBini
54;220;D07;4;7;1;8;0.0;0.5951856;6.1006524;0.0;86;0.871046093023256;LapaBini
55;223;D08;4;8;1;8;0.0;0.5951856;19.9883164;0.0;87;0.7472316459770115;LapaBini
56;226;D09;4;9;1;8;0.0;0.5951853565311;0.004959877971092;0.0;61;0.8628999180327868;LapaBini
57;229;D10;4;10;1;8;0.0;0.5951853456896;0.01735957258261;0.0;59;0.9128585423728812;LapaBini
58;232;D11;4;11;1;8;0.0;0.5951853102354;0.05455865343825;0.0;62;0.7998480806451616;LapaBini
59;235;D12;4;12;1;8;0.0;0.5951851942917;0.176075619978;0.0;58;0.8656715862068967;LapaBini
60;238;D13;4;13;1;8;0.0;0.595184815128;0.595184815128;0.0;57;0.9054783859649124;LapaBini
61;241;D14;4;14;1;8;0.0;0.5951835751738;1.88474798805;0.0;54;0.8672743703703704;LapaBini
62;244;D15;4;15;1;8;0.0;0.5951856;6.1006524;0.0;68;0.8401256764705882;LapaBini
63;247;D16;4;16;1;8;0.0;0.5951856;19.9883164;0.0;74;0.7782647364864865;LapaBini
64;270;E01;5;1;1;8;0.0;0.1760757801432;0.004959881130796;0.0;74;0.7069168918918919;LapaBini
65;273;E02;5;2;1;8;0.0;0.176075776936;0.01735958364158;0.0;72;0.6662396805555555;LapaBini
66;276;E03;5;3;1;8;0.0;0.1760757664474;0.05455868819498;0.0;95;0.5940905515789474;LapaBini
67;279;E04;5;4;1;8;0.0;0.1760757321474;0.1760757321474;0.0;78;0.528273628205128;LapaBini
68;282;E05;5;5;1;8;0.0;0.176075619978;0.5951851942917;0.0;75;0.4982135226666666;LapaBini
69;285;E06;5;6;1;8;0.0;0.1760752531577;1.884749188731;0.0;79;0.545154993670886;LapaBini
70;288;E07;5;7;1;8;0.0;0.17607574;6.1006524;0.0;69;0.6060579855072465;LapaBini
71;291;E08;5;8;1;8;0.0;0.17607574;19.9883164;0.0;83;0.5757860240963855;LapaBini
72;294;E09;5;9;1;8;0.0;0.1760757801432;0.004959881130796;0.0;73;0.5758228904109589;LapaBini
73;297;E10;5;10;1;8;0.0;0.176075776936;0.01735958364158;0.0;83;0.6200006144578313;LapaBini
74;300;E11;5;11;1;8;0.0;0.1760757664474;0.05455868819498;0.0;74;0.6556175675675675;LapaBini
75;303;E12;5;12;1;8;0.0;0.1760757321474;0.1760757321474;0.0;67;0.6088464626865671;LapaBini
76;306;E13;5;13;1;8;0.0;0.176075619978;0.5951851942917;0.0;61;0.6874458852459017;LapaBini
77;309;E14;5;14;1;8;0.0;0.1760752531577;1.884749188731;0.0;71;0.6962127309859154;LapaBini
